race_name,distance_km,elevation_gain,elevation_loss,race_date,race_url,source_file,bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1044,Erik LARSEN,NO,28,H,20-34M,Bouvet / Konnerud IL,https://utmb.world/runner/4484300.erik.larsen,610.0,33.0,24.0,8.0,11:44:57,42297.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,763,Nils HERNSTRÖM,SE,35,H,35-39M,,https://utmb.world/runner/6770623.nils.hernstrom,,34.0,27.0,7.0,22:19:47,80387.0,True,f,569.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1070,Jeppe Thye RASMUSSEN,DK,32,H,20-34M,,https://utmb.world/runner/6777577.jeppethye.rasmussen,581.0,34.0,25.0,9.0,11:45:50,42350.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,48,Antonio NAVARRO,SE,52,H,50-54M,IF Malmö Løp,https://utmb.world/runner/986669.antonio.navarro,624.0,35.0,28.0,2.0,22:21:31,80491.0,True,f,568.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1071,Etienne GRASLAND,FR,39,H,35-39M,,https://utmb.world/runner/5571503.etienne.grasland,580.0,35.0,26.0,4.0,11:45:51,42351.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,113,Mattias KRISTENSSON,SE,40,H,40-44M,Lindome Outdoors,https://utmb.world/runner/911697.mattias.kristensson,563.0,36.0,29.0,9.0,22:25:23,80723.0,True,f,566.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1120,Søren Dyrlund JESSEN,DK,34,H,20-34M,,https://utmb.world/runner/6420195.sorendyrlund.jessen,532.0,36.0,27.0,10.0,11:46:52,42412.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,729,Otto NORIN,SE,47,H,45-49M,Gudö SK,https://utmb.world/runner/4822956.otto.norin,,37.0,30.0,5.0,22:26:31,80791.0,True,f,566.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1126,Jakob CHRISTENSEN,DK,33,H,20-34M,,https://utmb.world/runner/6412457.jakob.christensen,528.0,37.0,28.0,11.0,11:47:03,42423.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,35,Justin GARDNER,GB,40,H,40-44M,,https://utmb.world/runner/4467982.justin.gardner,646.0,38.0,31.0,10.0,22:29:51,80991.0,True,f,564.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1161,Per Magne HELSETH,NO,41,H,40-44M,NEVR2L8,https://utmb.world/runner/5204148.permagne.helseth,504.0,38.0,29.0,7.0,11:47:58,42478.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,43,Fredrik HAUSMANN,NO,38,H,35-39M,Bamford1869,https://utmb.world/runner/6317968.fredrik.hausmann,631.0,39.0,32.0,8.0,22:37:23,81443.0,True,f,561.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1098,Gustav BILECKA,DK,27,H,20-34M,,https://utmb.world/runner/6113786.gustav.bilecka,550.0,39.0,30.0,12.0,11:49:01,42541.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,108,Vidar PEDERSEN,NO,48,H,45-49M,,https://utmb.world/runner/4834112.vidar.pedersen,565.0,40.0,33.0,6.0,22:39:11,81551.0,True,f,561.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1190,Adrian SCARPATI,SE,21,H,20-34M,,https://utmb.world/runner/6618444.adrian.scarpati,489.0,40.0,31.0,13.0,11:51:53,42713.0,True,f,
